Date,Open,High,Low,Last,Close
04/12/2023,770.3,773.24,769.54,770.61,770.61
01/12/2023,767.45,772.34,767.44,771.37,771.37
30/11/2023,764.52,768.03,761.71,765.04,765.04
29/11/2023,759.36,764.31,759.03,761.99,761.99
28/11/2023,761.5,762.14,758.97,761.37,761.37
27/11/2023,764.66,766.74,763.7,764.22,764.22
24/11/2023,761.41,766.34,761.38,765.66,765.66
23/11/2023,760.91,762.44,759.28,762.32,762.32
22/11/2023,759.14,761.12,758.19,760.04,760.04
21/11/2023,758.66,760.17,757.12,758.56,758.56
20/11/2023,757.89,760.06,757.54,759.47,759.47
17/11/2023,752.81,759.3,752.81,758.59,758.59
16/11/2023,758.67,760.82,753.85,753.91,753.91
15/11/2023,759.87,764.35,759.87,762.82,762.82
14/11/2023,754.2,761.01,751.55,758.15,758.15
13/11/2023,750.22,753.82,748.91,753.41,753.41
10/11/2023,745.68,748.26,742.45,746.31,746.31
09/11/2023,732.79,749.83,730.1,749.16,749.16
08/11/2023,730.73,737.29,729.94,734.64,734.64
07/11/2023,733.85,737.22,733.11,735.74,735.74
06/11/2023,738.3,739.17,734.97,735.34,735.34
03/11/2023,739.07,739.55,735.07,736.31,736.31
02/11/2023,728.45,738.36,728.18,736.03,736.03
01/11/2023,720.44,725.29,716.49,722.23,722.23
31/10/2023,713.84,721.5,713.74,718.6,718.6
30/10/2023,717.4,719.71,712.77,714.05,714.05
27/10/2023,719.28,723.43,713.28,714.25,714.25
26/10/2023,715.18,722.16,713.78,719.3,719.3
25/10/2023,721.96,724.26,718.95,722.24,722.24
24/10/2023,718.93,723.53,715.77,721.73,721.73
23/10/2023,716.45,719.75,711.69,719.18,719.18
20/10/2023,721.92,724.56,716.24,716.24,716.24
19/10/2023,728.34,730.85,725.12,727.61,727.61
18/10/2023,732.64,737.78,728.2,729.57,729.57
17/10/2023,733.45,738.43,730.5,736.77,736.77
16/10/2023,736.81,737.56,731.5,735.39,735.39
13/10/2023,738.82,743,733.08,733.9,733.9
12/10/2023,742.19,744.93,740.17,741.52,741.52
11/10/2023,736.74,741.8,736.68,737.78,737.78
10/10/2023,731.51,739.97,731.38,738.89,738.89
09/10/2023,726.86,730.9,724.16,726,726
06/10/2023,721.6,726.89,718.76,726.7,726.7
